TCGA-02-0047	TCGA-02-2485	TCGA-02-2486	TCGA-06-0125	TCGA-06-0130	TCGA-06-0132	TCGA-06-0138	TCGA-06-0141	TCGA-06-0157	TCGA-06-0158	TCGA-06-0168	TCGA-06-0171	TCGA-06-0174	TCGA-06-0178	TCGA-06-0184	TCGA-06-0187	TCGA-06-0190	TCGA-06-0210	TCGA-06-0219	TCGA-06-0238	TCGA-06-0644	TCGA-06-0645	TCGA-06-0649	TCGA-06-0686	TCGA-06-0743	TCGA-06-0744	TCGA-06-0745	TCGA-06-0747	TCGA-06-0749	TCGA-06-0750	TCGA-06-0882	TCGA-06-1804	TCGA-06-2557	TCGA-06-2558	TCGA-06-2559	TCGA-06-2561	TCGA-06-2562	TCGA-06-2563	TCGA-06-2564	TCGA-06-2565	TCGA-06-2567	TCGA-06-2569	TCGA-06-5408	TCGA-06-5410	TCGA-06-5411	TCGA-06-5412	TCGA-06-5413	TCGA-06-5414	TCGA-06-5415	TCGA-06-5858	TCGA-06-5859	TCGA-08-0386	TCGA-12-0616	TCGA-12-0618	TCGA-12-0619	TCGA-12-0821	TCGA-12-1597	TCGA-12-3650	TCGA-12-3652	TCGA-12-3653	TCGA-12-5295	TCGA-12-5299	TCGA-14-0787	TCGA-14-0789	TCGA-14-0790	TCGA-14-0817	TCGA-14-0871	TCGA-14-1823	TCGA-14-1825	TCGA-14-1829	TCGA-14-2554	TCGA-15-0742	TCGA-16-0846	TCGA-16-1045	TCGA-19-0957	TCGA-19-1389	TCGA-19-1390	TCGA-19-2619	TCGA-19-2620	TCGA-19-2624	TCGA-19-2625	TCGA-19-5960	TCGA-26-5132	TCGA-26-5133	TCGA-26-5134	TCGA-26-5135	TCGA-26-5136	TCGA-26-5139	TCGA-27-1831	TCGA-27-1832	TCGA-27-1834	TCGA-27-1835	TCGA-27-1837	TCGA-27-2523	TCGA-27-2524	TCGA-27-2526	TCGA-27-2528	TCGA-28-1747	TCGA-28-2509	TCGA-28-2513	TCGA-28-2514	TCGA-28-5204	TCGA-28-5207	TCGA-28-5208	TCGA-28-5209	TCGA-28-5213	TCGA-28-5215	TCGA-28-5216	TCGA-28-5218	TCGA-28-5220	TCGA-32-1970	TCGA-32-1980	TCGA-32-1982	TCGA-32-2632	TCGA-32-2634	TCGA-32-2638	TCGA-32-4213	TCGA-32-5222	TCGA-41-2571	TCGA-41-2572	TCGA-41-5651	TCGA-76-4925	TCGA-76-4927	TCGA-76-4929	TCGA-76-4931	TCGA-76-4932
GPR17	7.39409726981999	1.96611885635483	1.90319648550448	4.8797632194919	2.42887407254436	4.91933765327926	6.25457276554231	7.01889988449376	2.40854742752256	6.05718580603538	5.77887294019567	2.93310126528974	7.8180776757244	7.02666949683286	2.50641533727539	4.0239811090599	4.2408849283621	2.91197015744866	4.54274995302644	8.88321303742856	1.63071004770964	4.15534871984884	5.54213649735809	8.80725865633036	3.72172169491792	4.33981304733733	4.77740016028667	2.38789084957315	5.79712556950171	5.10791504816667	4.70311144691538	2.55713428378488	5.00929840085259	8.46621883563605	3.80934112125386	5.27552457315779	3.12847835790467	2.50727135164348	4.29336480552799	3.17008466069827	3.15174835529389	2.54501349052012	5.30766058245114	3.22117318391688	6.52279666804268	2.76621218527103	6.75179993840045	3.92411164253352	7.77070784820263	5.83701007113935	4.02813353210971	2.21239776892846	7.40674582367236	7.27965195233881	4.56183670699594	2.91509689028297	6.53521079159416	6.01431790833646	3.86194581339355	1.28807495361343	3.86387633417273	4.93760141156836	3.20572574025869	3.39082712932097	0.716766046158579	7.28110124597671	2.95331004100222	1.50432181134904	9.27696701147636	5.20209497080123	2.88143752175499	5.72975784140133	8.28324652097828	5.87950564322191	8.05928621377108	1.4418000210253	8.50698557046681	3.50323036722727	5.40505068947462	5.78291245823149	2.50894864426824	3.73107650281372	1.83945379509072	5.99596913619538	9.00597432711304	5.55719440385446	4.32300354222439	2.98740267859856	3.63657512248465	5.74032749595197	7.84346836978119	1.39098335060602	7.54843336891382	6.03476131684436	1.88521945362749	4.05811616761481	4.15542711838628	8.31818499989492	1.38829236378256	4.18421878180893	6.13580122678862	6.02620287358995	6.06095236275653	5.45410884239013	4.2845998414229	2.61183294336039	8.99099432600256	8.71863132323285	1.17006435607475	2.33132802852626	6.66507843909682	4.9191141269088	4.13558886755659	2.96229957746559	7.23263920113002	2.24432018486207	6.45136480879103	3.26361206870953	7.5496539536252	3.00250925783301	8.34860593386212	1.92543043544506	7.16547485046701	7.03940045632055	6.53583877026933	3.76777381037662
CA10	6.76534688784857	2.7237988705703	0.198440938673838	4.48217169847608	2.38234776146026	6.40713077970047	7.20043519139939	5.81016926351549	1.75796136047783	4.22331515351904	5.26093009161924	2.47762184659077	7.45716135328473	6.42790121309364	3.25783111818537	0.00757126549631813	2.95994964341422	0.660675640412983	5.45346940199423	7.86273423610921	1.02457098095893	5.01428794835837	4.51454501437403	7.9808884817041	1.44444533776192	3.76601409129251	4.5225078835035	4.5377154167295	6.33352808750201	3.41953488389901	5.4089437431914	3.25027758800773	4.33624313345993	5.98385995535635	4.04634058892362	4.75407541819225	4.04084181123812	3.80305153366401	4.83962077117995	0.754195242124879	2.36329441710549	5.8298128884809	6.16491184387683	4.76743358284018	7.12720875031795	1.56224147760313	4.51875681197722	2.67521704400697	6.67522127505368	4.65235334533095	1.9644374536692	3.10848936696204	7.67885125343054	7.34618754902649	2.35022221170961	3.99646892778468	4.47616794980379	3.06358249246207	1.63732541592099	0.371770431584067	1.86240430879739	4.39245086312084	2.62380590131181	4.80336837277285	0.716766046158579	5.6471659139873	1.16155578843514	0.81119684733376	7.55382489803118	5.40495361810866	2.76702954862824	2.79213396347383	7.19986876818699	3.74638391918236	7.24749374708562	1.57532254479797	7.91919890556469	2.48850018529813	4.85363132528657	5.16912341077211	2.7966286828748	5.1173702647579	-0.0323166014765431	6.67211863799189	8.15169725667973	6.16131406705244	1.50959547746018	4.60253872673415	3.93506938567253	3.43919298570127	4.2377534695174	4.06511998745366	5.67477204536406	2.20234478003079	5.02858980945637	-Inf	1.82253112789481	5.4386048229904	0.407463110770837	1.88163064198975	5.53132570050181	1.70026533239459	6.34800443192664	5.35736333117596	2.44894262785441	2.61183294336039	7.39636283943369	7.34028702497974	0.659228387356319	-0.558965999093926	5.76917750388597	6.57030366292541	3.82050841325891	2.7027830204958	6.55475116073972	2.67717853743512	6.38520620331254	3.35541867848886	7.10419930921165	1.58543206396725	8.38097212772445	2.14858273549982	5.65860029387977	4.27703827198077	3.89061957753411	1.49908718859501
UGT8	7.00939023334681	3.04225319827938	5.93017274965437	5.43314847667372	4.53632480362408	7.41447112918606	6.0224245516729	5.8942273367724	2.82840178705899	6.21955026576951	5.43528322962119	6.93152551509457	7.28024006612369	7.06352459097441	6.00534526268167	2.40549360494632	5.37075011486897	5.15491859391554	6.6630132763446	7.69678915494753	5.20152118318712	5.65942576817345	5.18618620392444	7.64805289914529	3.98013201976175	4.64667674613982	5.07750484626873	3.27028351271257	5.64038108451782	4.97767881294209	6.59404211858136	5.35615363392669	6.48077496996037	7.68930176874137	5.80546352939241	5.65471057080187	3.90618399151735	4.66527420172446	6.23536380080975	3.6880290926591	5.55787423241878	1.55176642581835	4.66361643687648	7.37076702185905	7.2247011101544	3.91888937784542	6.50978784295176	4.56963005118873	5.55292431298174	6.62643400038685	4.64717260353487	4.11450986884022	5.90189535624516	6.78948118527648	4.20516265815917	4.7445981595584	7.14606381838795	6.44729508593798	2.04279052402916	2.24358852018633	4.40399847615031	4.94371741118787	3.46355540223532	4.69973372348805	3.05213151040311	6.07634759831825	2.26016807710325	1.50432181134904	8.34736846297102	6.47022968202229	3.89549313681011	3.41858860713251	6.63014643412184	6.24347093037725	8.08212294399298	5.15187209036851	8.06201351050461	4.43932337227999	7.33016992859735	5.86578567118659	3.18104103088512	5.91354030224004	3.95663875455245	6.45609250327937	7.1160348262998	6.19543812295963	5.270792509437	4.59684059103266	4.44266302112699	4.10292596972843	6.24354806844987	2.23827054677222	6.30767248559372	6.4601152302848	4.75001657194963	3.64289310557723	2.62488595984144	6.64639207328807	2.44434503803188	3.92639128552814	6.40664249912565	1.60494784716124	5.01508073181333	5.27995072772671	4.17445649826853	4.36968959539674	8.34505957684759	7.64055918339811	3.49244173141254	4.67206405611217	5.51655168728483	7.09852364416635	4.72936374139692	3.89558666582247	7.58259204234642	3.48510338641502	6.17901718955137	5.88604819655808	7.48600337380154	4.10111989108987	7.38072569047403	4.18328297018321	6.89969074789035	6.4148217985688	4.99880087613179	2.297592651471
HRASLS	5.25949597365581	4.43984614938293	5.05048145264342	3.90024997446591	4.04735777099776	4.56329242601023	4.71810415054597	5.82997185555375	4.31648093984045	3.84332866080619	4.04898799650093	3.20851432949849	5.51386776268635	6.65476457510742	3.99707162413401	3.86832813815796	4.21678783320494	3.70520299719332	4.64184053433943	6.50746709743561	4.22324629616288	4.20335740002399	5.46293945784973	7.11003900916765	4.87034357808249	5.28388370055043	5.51763520916201	3.33697525491105	4.7391283625274	4.74604020986629	4.1922861253834	4.01241841532325	4.98209383418647	5.73852554992933	4.49665692787882	4.08963850609033	4.33831766434639	1.88823563567235	4.29881348980483	3.51418076926553	5.39439043709539	2.08238719896841	4.33047146389444	3.51901004650922	5.31112647847697	4.6732792003217	5.46435793777994	3.58608785817672	4.21415517059261	4.512590973695	4.24809659117008	5.12475235902655	6.89454541160697	5.19670315804356	4.92846237468748	3.55560231487857	5.16931569920991	5.35813601659764	4.61412695411431	4.00937473621201	5.75829023045584	3.61661247859319	4.17917578662743	3.32486694165533	3.86664062815156	5.91566526087322	4.15728493199581	4.63982182294612	7.7286689608162	6.69855740805617	4.43530670411617	4.91882770638159	6.43165856453708	3.60441301783199	5.80859764163847	4.29167103563839	7.34654509909263	3.70617157979523	3.88228106641809	5.03893958808843	5.21142470978361	3.89304607714869	5.06446669809014	5.00384026005434	6.2857842913939	4.11728604899028	4.91078991245987	3.3440766141724	5.27176597750257	4.48829024242126	5.67853577525475	4.71119997763077	4.69394267797062	4.80342414531276	4.10244665147508	3.72745091808904	3.83229774736215	4.91495884722434	4.43875308022896	4.21993702476997	4.99337180047006	5.42923948297028	4.81759085210586	4.33896776521324	4.67148774869236	4.13788765120454	6.6070063389845	6.6416952234846	-0.439435627679318	5.36253411717303	5.04181220397098	4.47210040109204	4.3313331603583	4.3557096096898	5.65242426588106	3.37032915583294	5.08906316015309	4.3163140913085	5.49136906557477	4.43325430190802	5.71343672207704	4.78046628863694	4.72962425407851	4.95061561426552	4.37612676461769	4.03806341053399
RAB33A	5.75745972516092	5.17695675147922	4.47511730773986	4.117057981729	3.9627997664353	6.02088280549312	5.97964648813604	5.26544184005259	4.42054998934463	4.91646233407898	4.8374463081383	4.58082113937217	6.3211781023541	7.86888376500975	5.32541148346108	4.05938210315555	4.03933207951816	4.74244556115496	6.78670476091453	7.59424831977736	3.82793462504586	4.91967211902813	4.6409590555584	7.42013353678784	4.6880212542153	5.34499148394501	5.22710972283416	3.54057374246392	6.36436100793204	4.70738826937342	4.79260199649829	3.3192712347633	4.81166714847325	6.52402196554134	5.81019174018358	4.70431391742554	4.11663429019616	3.94965399410034	4.35173622737461	4.38117627321904	4.00422837027899	2.24490301265296	4.90328910458865	5.35280176394614	6.77238058852753	3.8536478516603	5.91525579293305	3.90848676027689	5.46389959933769	4.60790145268111	4.72128071266965	4.46369302346352	6.64813237355403	6.46609713368063	4.37378526770972	5.36963380313226	6.76246762293228	6.08303182188347	5.49012668848226	3.36751994280236	4.49428555155406	4.68013293557262	4.5772068303445	3.81734522561679	2.95034780341939	6.24159699935257	2.77098744087281	4.69617474626518	7.09895588343932	6.19042605546896	4.89814199309193	4.62600463371561	6.69742330777525	4.43953109974231	6.26666454153766	2.89707700517404	6.74894675153883	4.83493655793074	5.24470770724698	5.80054493272709	4.08448276078342	4.16185834038964	4.36825727058788	6.15172367517678	6.31955875009725	5.66067244791877	5.02610107989492	4.25233642667327	4.47137361534984	3.74838109267947	5.22655065151169	2.37180327243059	5.6666747542273	5.13758977282634	5.18441939923077	4.78936249183934	4.30744316487369	5.88361733106087	4.10464466688078	3.97237464881289	5.711211146951	4.42633414771082	4.72140713818427	4.53679283931258	3.54755779601435	4.45238141167969	6.74184649275971	6.97647616681822	3.32181501147338	4.91741925338458	4.67056552745027	6.00210102864453	4.35331203849011	3.73768390389561	5.79969398877432	3.94145947008967	5.41687698947134	5.29378209774628	6.8734068688594	4.25959060310234	6.55496904989563	4.20270108536409	4.92252804412985	5.59931082310087	5.09555286950131	4.35172076594765
ELOVL2	6.49615564307558	8.55476419839843	5.57834811714908	7.89098735540017	4.83908590856992	6.52170242786793	7.36855985134773	6.56737401204754	7.87972363998663	7.55390523958713	7.79424864616099	5.95649596083607	8.03208872427853	4.3014075109045	7.25378031341961	7.30027502293256	7.84426745239833	8.07540346043399	7.75269698009053	6.41935971015226	7.04519208554023	7.21766622419119	4.04312144081097	5.85045324961363	6.71424261468994	6.99632314401553	6.96465438142601	8.24915430871454	6.28594930374692	6.24006237209462	7.58660381948037	7.40244310614869	7.66416824922547	6.17861442875858	7.72831599493312	6.81205066139746	7.70076195730743	9.1033659658085	8.74618558883406	7.77472000114728	7.26023485465773	6.27560046437717	7.94796760693926	6.54312232534262	6.3805282173122	8.05498108129726	5.97318931774546	8.29669424006283	8.0717262523617	8.6475975399306	7.00463422762491	7.7540573151295	6.45852353264276	7.25749341883134	7.44450727102204	8.13905098000777	7.43147910218587	8.04883205254437	8.70879036304485	9.38726912202524	8.79883646195134	7.57072542873664	8.06302861152596	7.15054042501963	8.0810929325112	6.91973147717171	3.99476545014526	6.89339912070947	5.59556900430168	6.48925644975506	7.27019944888675	7.52748253524452	6.75979364079769	7.32908553411322	7.17922153284166	6.39156294683043	5.50307777861604	8.90984117668038	7.8244122637775	8.45183329837844	6.65998573160863	6.75871150335949	8.16436623447022	5.50042357662043	5.38087889931653	7.49659622127183	6.60334283103188	8.44357823309584	8.59530740073162	5.63157479836016	5.80969683691268	8.51074242992078	8.31756646416293	7.9687633765542	7.13415751501127	7.63051582340191	7.95342793633733	7.76282269235676	7.78480925917439	7.60670389860435	7.40593143449876	8.0115053797938	6.80564469878063	8.32214735119772	8.12240110345346	6.20640010481755	4.5517177201614	4.49935178774025	5.96914557146121	3.63060924598912	8.64792930588843	6.52622366613939	8.29193503089108	8.37928638920398	6.51952465035856	8.05370915933546	8.2014281375634	8.11804295248509	5.33681377899734	8.23636785108989	6.22506661695781	8.41092737721042	7.98826629023722	4.23750795946181	7.84849757976382	8.6895984101126
MLC1	9.0386629726088	9.54511048223044	8.36452515859117	10.0994777291669	5.80862705724345	9.13690026905584	9.33297990683765	7.98317109777997	9.93713851898462	8.94285014518293	9.4017944087728	9.09168066840875	8.59366850349399	8.07560384951049	9.56307426115056	9.93741051698255	9.39536903624598	8.22102083159554	8.35218620456331	8.125303331253	8.84219877944109	9.14265349730401	8.61101533737441	8.75369879949768	9.95462185278478	8.65739538469283	8.70092798245742	9.89320227999626	9.76110842531857	9.3670561049543	9.48459228977983	9.51391529142567	8.80794396558292	8.44451386902551	8.80340513375611	9.86813764733025	8.5437954331622	10.2744039651334	9.73788529800284	9.25271218251093	9.18705575719152	5.17075214090202	8.62442935494631	8.73460313698268	8.40412966135248	9.57888418736976	8.56207840785845	9.53130885844526	9.85127759076896	9.55830382381404	9.90833373082203	9.20146040148293	8.52928392304579	8.07259849960238	8.30752434709839	8.37773397821398	8.58350498936872	8.71030111562599	9.2970250039238	9.9312353275078	8.89590302811519	9.89026970034475	9.04594141751492	9.47760054727378	10.4983782379142	8.8823873753592	5.22199502140219	9.41784844376088	8.67010087046659	8.62749497885796	8.89944001591009	8.68386663595283	10.1409690820142	9.25844791273507	8.60753417245039	8.02993063197199	7.09106001895973	10.3874992342826	9.2009558144431	8.57516039365421	8.52530617200837	8.92738500436712	8.89277575048252	8.71313283307157	8.36188063353668	8.8187968966723	9.02638853099083	10.0955533876027	9.12748786216993	8.9216416362307	9.47449293648157	9.4720346197249	9.82790511389075	8.40716758891994	9.3427257306546	10.1044544250426	9.78637064496716	10.0852389384802	9.24102700399797	10.126398344764	8.65211386853798	9.86304109166095	8.70243564490174	9.20303405573371	9.90710965977838	8.68809649064627	9.46517444791292	8.8558616716707	5.40125835751526	9.65753729419321	9.43395394081485	8.82935246301468	8.88964501529133	10.1009603966814	8.36136287846135	10.0313523691516	8.89457533183643	9.08841982611726	8.04731614615841	9.80416195672861	7.79839604514963	9.14758908478413	9.20308519672608	9.43947376432146	9.92922409808761	9.92319262605448
SLC4A4	8.73546302946073	7.53801335070917	7.37317523171489	8.63709506519332	4.68493470112352	7.6173526600042	7.19630080355182	8.80474692063238	7.7372696898752	8.06228153526587	7.43811367010598	7.09198418230035	6.71845019402044	7.09014091705618	8.47849417095765	8.18187778540839	7.5849243364972	9.04148055796465	8.91737059756972	6.55781333174962	8.1322717594891	6.85406553645779	8.36484385818957	6.5919340547747	7.81328346184324	6.64450887554445	8.17573612314031	8.47077797981302	7.95919723584372	7.95136526302948	8.61419788018353	7.43014569203789	7.85988250399143	7.78217125404289	6.97422658733255	9.50879519690073	8.0764048180281	9.23893069568502	8.4843430247726	9.06949365895003	6.47874448406271	4.20500003482057	9.10847089997259	7.99961166450901	7.45492883958196	9.18500897415596	7.64596755137937	8.72143821317471	8.92052513260745	7.27228442774297	7.88097908375332	6.91560558454276	6.14206256656114	7.12443655469935	7.47806217000731	8.49589163568792	7.13588971508538	7.62709745518476	9.66308473197189	9.09542666959302	8.87162480296542	7.9632499192986	8.41697987284886	9.17667840194336	9.18874364244063	7.70308284895439	5.56827121863306	8.06394265022728	7.67733692687737	8.10113044619741	8.33085199869946	7.65792927583456	8.35571872803848	8.97788569384937	7.62673812591457	7.86735386027745	6.17358254151785	9.39158853622376	9.01563475224419	7.13462579652158	7.80892843395219	8.22905250715147	7.18326134885994	8.80967935571738	7.50528488249607	6.21965852352816	7.03902167092819	8.57572095282726	9.58568865384303	6.91842416349497	8.32715215596694	9.87004782006761	8.26059370464193	7.83635929032042	8.19695616366904	8.84778945541691	8.82937051064157	8.44131913449865	8.64618021401473	8.58012665639005	8.48236987711685	9.17570795328226	8.26570517949913	9.23676030165118	8.48221635148047	7.07658937079987	7.84502617987213	8.3358822997282	3.83728221770426	8.52164297642186	8.536784541493	8.43042801684358	8.54362571387543	8.20283441202669	7.74986934095832	8.69754739757774	8.43775635683119	8.79197186188925	6.36602842565545	8.98736003234222	6.69627593552914	9.04678714306925	7.90738264758411	8.51417355690542	8.29169391756523	8.79655718436753
CDH4	4.99393189921397	6.1982852018346	3.47559650190435	7.33015465621157	2.28227013447864	4.73613528850522	4.70568136258448	4.67073505525019	7.08987539882236	6.79961401172694	5.64229742027381	6.03845308933079	6.39877694791985	3.13825561714027	5.49814070310301	6.195861677144	5.9266963996083	5.33584241210002	4.77143349653334	4.06468915531448	4.51601760917447	5.28357269619412	4.41781598666606	4.42173761224331	5.80276348446998	6.32032898913713	6.30345635398359	6.68970361696838	4.59487840684809	5.07435472987498	6.672453110344	5.72621692977096	6.39509363743321	5.19463876900595	6.18694682872651	4.81069462839382	5.79106750864278	6.32835812352454	5.9866210864668	6.4559523672089	6.35301555868308	2.91273645975164	5.98537202533105	4.71384879069486	5.33359908202601	5.29460096929071	5.41954380023218	5.46289365323439	6.39244863040386	6.01666849236016	5.01193444982788	5.84603262322507	4.49922616679185	5.41111287402671	5.51917831470469	3.50003164760442	6.35033443040391	5.98889274285266	5.49012668848226	6.08386982996348	5.03208232026121	6.33153530129148	6.10098913098741	4.31980143574203	6.65692830330548	4.53850353532171	1.85470296899508	4.33754038287194	4.29835422258613	2.72916569170629	5.22116360684288	6.21250067937376	5.01539926169445	5.6559264240668	4.51746511390219	4.35569292622203	5.33557124289914	6.73057002875256	6.23455444088105	6.1021744044909	5.20300948674107	5.12284966831301	5.64097720612368	1.38953909128478	5.3902687300208	6.13287621489407	4.5853673986919	5.68395860713445	4.59542586391366	5.43359710492504	4.20522978852263	6.85126640565579	6.3719432453049	6.82219096358459	5.87756685995013	5.46125773222911	6.80666928120851	6.63362049291893	5.59112167293196	5.52399370764052	5.93557359440559	6.13108234866057	4.92513259665891	5.29447850754856	6.0141353611428	3.92016377922799	5.45887590072597	3.87364593630714	3.79472260328547	4.41768934293581	5.78735985109821	5.64279780886505	5.66046953307948	6.26970727125777	4.91845494459252	6.73808910396122	5.44141807685537	6.03017262888825	6.62339740857673	6.56561828789295	5.12886386011887	6.9935514345559	5.81873543535153	4.39396014623841	6.28237664739878	5.60631406755392
FGFR3	7.05018999414182	8.71409053673858	5.94145411371281	7.43524236645739	4.18201502752086	7.30959502339366	6.89873057860087	7.49056725729059	8.93204811688358	8.60324260419996	8.23985498293436	7.01928234234251	6.86972397020695	5.77014526829637	7.22455797516501	8.20966894528633	6.79725100127815	6.62168537295809	7.23069174760269	6.66260075376834	5.0288713354601	7.02872771198814	5.67280835799621	6.73625175568642	8.39335050560817	9.16083297665797	6.48474210015404	8.81080208053991	8.23442884709332	6.82073150191563	8.58322653849461	8.32344182652218	7.61911377234909	7.37965105448955	6.69971226351714	7.56971695744145	7.27192557247491	7.32319989243538	8.17374450788225	7.33979168912257	7.2986278317673	5.1156419471521	6.88643633666116	6.69263371531333	7.27792075510737	6.46421346709236	6.27661510548018	7.82522223882887	8.23489993318866	5.56341251414214	6.3772383817199	8.28935559026809	5.76004307817765	6.08387826348188	5.72051372342789	5.21768306725201	7.47803554157778	7.1645720305685	6.80567415800453	6.8418137474189	6.38960523031885	7.62101533282465	8.47827432230346	6.63158798955746	8.4108462115848	6.82335630487651	4.77247031730237	5.78561250718955	6.19091829784773	5.6983571173178	7.96116306729795	8.27223445997932	8.21585574731652	6.40210838906236	7.09016774831009	5.56661820540484	6.13818828679495	8.54390953049985	8.74923476564633	7.04128663410666	7.96159238763411	8.59259069605116	7.92640554005532	3.62759695969677	6.55225064995768	7.01507586245138	7.98605199682102	7.50701509705297	7.7130072712212	5.23577152537102	7.81637119465478	11.4244345791379	7.11693579931983	5.96959488997681	5.71188456390918	7.93335376590447	7.56898486954675	8.63001571292967	6.43091473118136	6.24299436885672	7.12234700747479	7.0421648359075	7.07323997125458	6.0838096536057	7.6020149405056	6.30818277310835	6.55503877578327	5.90863550286824	3.41076480093021	4.79754190363553	8.30609725032452	7.60124989917794	7.59028438679891	7.38799917229387	7.07793922206288	7.90698728286126	6.89932827128288	6.57007563373641	6.57202166950872	7.63458585075583	6.55756753331218	9.19252290953572	6.77663058792664	6.46300246747689	8.4767632866854	7.7910704441173
